Source.Name,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,01-01-2021,27.1,15,20.5,27,15,20.5,9.9,51.3,0,0,0,,0,0,28.1,11.2,34.8,1012.6,20.6,4,185.7,16,7,,01-01-2021 07:21,01-01-2021 18:05,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,02-01-2021,27.3,16,21.1,26.6,16,21,8.5,46,0,0,0,,0,0,19.1,9.4,301.4,1012.5,54.2,4.1,167.8,14.5,7,,02-01-2021 07:21,02-01-2021 18:05,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,03-01-2021,26.1,11,18.4,26.1,11,18.4,5.4,46.6,0,0,0,,0,0,19.4,13,323.1,1011.6,38,4.6,186.8,16.2,7,,03-01-2021 07:21,03-01-2021 18:06,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,remote"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,04-01-2021,28,13,19.7,26.9,13,19.6,9.3,54.9,0,0,0,,0,0,17.3,7.6,322.4,1011.2,35.3,3.7,184.1,16,7,,04-01-2021 07:21,04-01-2021 18:07,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,05-01-2021,25.3,14,19.1,25.3,14,19.1,10.2,58,0,0,0,,0,0,23,11.2,321.4,1012.7,15.7,3.2,192.8,16.8,7,,05-01-2021 07:22,05-01-2021 18:07,0.72,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,06-01-2021,27,11,18.1,26.3,11,18.1,9.6,61.7,0,0,0,,0,0,21.2,16.6,4.1,1013.5,0,3.6,199.8,17.3,7,,06-01-2021 07:22,06-01-2021 18:08,0.75,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,remote"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,07-01-2021,26.1,12,19,26.1,12,19,12.3,66,0,0,0,,0,0,28.1,14.8,24.3,1011.3,12.3,4,171.9,14.8,6,,07-01-2021 07:22,07-01-2021 18:09,0.79,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,remote"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,08-01-2021,25.8,15,20.2,25.8,15,20.2,14.2,69.1,0,0,0,,0,0,24.5,13,353,1010.3,33.8,2.9,171.8,14.9,7,,08-01-2021 07:22,08-01-2021 18:09,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,09-01-2021,27.3,15,20.4,28.9,15,20.6,16.3,78.1,0,0,0,,0,0,23.8,16.6,6.3,1011.7,42.1,3.1,153.6,13.4,7,,09-01-2021 07:22,09-01-2021 18:10,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
gujarat 2021-01-01 to 2021-12-31.csv,gujarat,10-01-2021,27,17,21.5,28.5,17,21.7,18.6,84.6,0,0,0,,0,0,26.3,18.4,39.7,1012.7,37.8,3.4,188.8,16.4,7,,10-01-2021 07:22,10-01-2021 18:11,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
